id,id_str,has_tweet_coordinates,default_profile_image,has_description,tweet_favourited_count,user_favourites_count,followers_count,followings_count,retweet_count,user_activity_count,verified,has_text_url,has_exclamation,has_first_noun_words,has_hash,has_mention,has_qmark,polarity_positive,polarity_negative,subjectivity_positive,subjectivity_negative
82,1.12E+18,0,FALSE,1,0,22,13,157,0,5775,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
83,1.12E+18,0,FALSE,1,1,8865,4602,4941,0,5163,FALSE,FALSE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
84,1.12E+18,0,FALSE,1,0,163,104,389,0,21206,FALSE,TRUE,3,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE
85,1.12E+18,0,FALSE,1,0,10,6801,3401,0,189556,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
86,1.12E+18,0,FALSE,1,0,23,359,345,0,15524,FALSE,TRUE,3,FALSE,TRUE,FALSE,3,TRUE,FALSE,TRUE,FALSE
87,1.12E+18,0,FALSE,1,0,1083,5239,3792,1,192512,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
88,1.12E+18,0,FALSE,1,2,22206,44697,12019,1,24648,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
89,1.12E+18,0,FALSE,1,0,4309,3978,743,0,24738,FALSE,FALSE,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,FALSE
90,1.12E+18,0,FALSE,1,0,4739,463,710,0,60544,FALSE,TRUE,0,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE,FALSE
91,1.12E+18,0,FALSE,1,0,5931,344,180,0,16464,FALSE,FALSE,1,FALSE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE
92,1.12E+18,0,FALSE,1,0,3,3730,3773,0,4575,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
93,1.12E+18,0,FALSE,1,1,118,738,417,0,2490,FALSE,TRUE,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,FALSE
94,1.12E+18,0,FALSE,1,0,0,10,41,0,3922,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
95,1.12E+18,0,FALSE,0,0,0,342,354,0,4593,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE
96,1.12E+18,0,FALSE,1,0,0,1958,0,0,323886,FALSE,TRUE,0,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE
97,1.12E+18,0,FALSE,1,0,1112,287,1009,0,15599,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE
98,1.12E+18,0,FALSE,1,8,29763,415,175,0,15846,FALSE,TRUE,3,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
99,1.12E+18,0,FALSE,1,0,7328,13229,3388,0,27464,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
100,1.12E+18,0,FALSE,1,0,617,1902,1596,0,9832,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
101,1.12E+18,0,FALSE,1,0,2808,748,322,0,1092,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
102,1.12E+18,0,FALSE,1,0,251,1451,1441,0,22250,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
103,1.12E+18,0,FALSE,1,0,0,439,28,1,32400,FALSE,TRUE,0,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE
104,1.12E+18,0,FALSE,1,1,269,1248,229,0,107,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
105,1.12E+18,0,FALSE,1,3,3847,3323,1245,0,75468,FALSE,FALSE,0,FALSE,FALSE,TRUE,0,TRUE,FALSE,TRUE,FALSE
